misconception_type,convo_turn,done,previous_action_id,listen_to_feedback,problem_progress,progress_delta,correct_solution,next_action_hint_strength,next_action_id
1,1,0,0,0,0,0,0,1,21
1,2,0,21,1,25,25,0,1,36
1,3,1,36,1,100,75,1,1,66
3,1,0,0,0,0,0,0,1,21
3,2,0,21,1,75,75,0,2,37
3,3,0,37,1,25,-50,0,1,36
3,4,0,36,0,50,25,0,2,37
3,5,1,37,0,25,-25,0,1,76
4,1,0,0,0,0,0,0,1,21
4,2,0,21,1,10,10,0,1,36
4,3,0,36,1,75,65,0,2,22
4,4,0,22,1,25,-50,0,1,36
4,5,0,36,1,25,0,0,1,21
4,6,1,21,1,100,75,1,0,65
5,1,0,0,0,0,0,0,1,21
5,2,0,21,1,25,25,0,2,37
5,3,0,37,0,50,25,0,2,27
5,4,0,27,1,25,-25,0,2,47
5,5,0,47,0,50,25,0,2,27
5,6,0,27,0,50,0,0,3,58
5,7,1,58,1,100,50,1,0,65
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,25,25,0,2,27
1,3,0,27,0,25,0,0,3,13
1,4,1,13,1,100,75,1,1,66
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,75,75,0,3,3
3,3,0,3,0,75,0,0,3,3
3,4,0,3,1,75,0,0,2,2
3,5,0,2,0,75,0,0,3,3
3,6,0,3,1,75,0,0,2,7
3,7,0,7,0,50,-25,0,3,3
3,8,0,3,0,75,25,0,3,58
3,9,1,58,1,100,25,1,1,66
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,75,75,0,2,2
5,3,0,2,1,75,0,0,2,2
5,4,0,2,0,50,-25,0,3,3
5,5,0,3,0,75,25,0,2,2
5,6,0,2,1,75,0,0,2,2
5,7,0,2,0,75,0,0,3,3
5,8,0,3,0,75,0,0,3,58
5,9,0,58,0,50,-25,0,2,27
5,10,1,27,1,100,50,1,0,65
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,75,75,0,2,2
1,3,0,2,0,15,-60,0,2,37
1,4,0,37,1,75,60,0,3,8
1,5,0,8,0,75,0,0,3,58
1,6,0,58,1,25,-50,0,3,48
1,7,0,48,1,75,50,0,2,72
1,8,1,72,1,100,25,1,0,65
3,1,0,0,0,0,0,0,0,60
3,2,0,60,0,25,25,0,1,76
3,3,0,76,0,50,25,0,3,58
3,4,0,58,1,75,25,0,3,3
3,5,0,3,0,25,-50,0,1,21
3,6,0,21,1,50,25,0,3,58
3,7,0,58,1,100,50,1,0,65
4,8,0,65,0,0,-100,0,0,60
4,9,0,60,0,25,25,0,2,2
4,10,1,2,1,100,75,1,0,65
5,1,0,0,0,0,0,0,0,60
5,2,0,60,0,100,100,1,1,26
5,3,0,26,1,10,-90,0,2,2
5,4,0,2,0,75,65,0,3,28
5,5,0,28,1,25,-50,0,2,37
5,6,0,37,1,75,50,0,2,37
5,7,0,37,1,75,0,0,2,2
5,8,1,2,1,100,25,1,1,66
1,1,0,0,0,0,0,0,0,60
1,2,0,60,0,70,70,0,2,27
1,3,0,27,1,75,5,0,2,7
1,4,0,7,0,50,-25,0,3,13
1,5,0,13,1,40,-10,0,3,3
2,6,0,3,0,0,-40,0,0,60
2,7,0,60,0,50,50,0,2,27
2,8,0,27,0,50,0,0,3,13
2,9,0,13,1,50,0,0,2,2
2,10,0,2,1,75,25,0,2,2
1,11,0,2,0,0,-75,0,0,60
