misconception_type	convo_turn	done	previous_action_id	listen_to_feedback	problem_progress	progress_delta	correct_solution	next_action_hint_strength	next_action_id
1	1	0	0.0	0	0	0	0	1	1
1	2	0	21.0	1	25	25	0	1	1
1	3	1	36.0	1	100	75	1	1	3
3	1	0	0.0	0	0	0	0	1	1
3	2	0	21.0	1	75	75	0	2	1
3	3	0	37.0	1	25	-50	0	1	1
3	4	0	36.0	0	50	25	0	2	1
3	5	1	37.0	0	25	-25	0	1	3
4	1	0	0.0	0	0	0	0	1	1
4	2	0	21.0	1	10	10	0	1	1
4	3	0	36.0	1	75	65	0	2	1
4	4	0	22.0	1	25	-50	0	1	1
4	5	0	36.0	1	25	0	0	1	1
4	6	1	21.0	1	100	75	1	0	3
5	1	0	0.0	0	0	0	0	1	1
5	2	0	21.0	1	25	25	0	2	1
5	3	0	37.0	0	50	25	0	2	1
5	4	0	27.0	1	25	-25	0	2	2
5	5	0	47.0	0	50	25	0	2	1
5	6	0	27.0	0	50	0	0	3	2
5	7	1	58.0	1	100	50	1	0	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	25	25	0	2	1
1	3	0	27.0	0	25	0	0	3	0
1	4	1	13.0	1	100	75	1	1	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	75	75	0	3	0
3	3	0	3.0	0	75	0	0	3	0
3	4	0	3.0	1	75	0	0	2	0
3	5	0	2.0	0	75	0	0	3	0
3	6	0	3.0	1	75	0	0	2	0
3	7	0	7.0	0	50	-25	0	3	0
3	8	0	3.0	0	75	25	0	3	2
3	9	1	58.0	1	100	25	1	1	3
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	75	75	0	2	0
5	3	0	2.0	1	75	0	0	2	0
5	4	0	2.0	0	50	-25	0	3	0
5	5	0	3.0	0	75	25	0	2	0
5	6	0	2.0	1	75	0	0	2	0
5	7	0	2.0	0	75	0	0	3	0
5	8	0	3.0	0	75	0	0	3	2
5	9	0	58.0	0	50	-25	0	2	1
5	10	1	27.0	1	100	50	1	0	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	75	75	0	2	0
1	3	0	2.0	0	15	-60	0	2	1
1	4	0	37.0	1	75	60	0	3	0
1	5	0	8.0	0	75	0	0	3	2
1	6	0	58.0	1	25	-50	0	3	2
1	7	0	48.0	1	75	50	0	2	3
1	8	1	72.0	1	100	25	1	0	3
3	1	0	0.0	0	0	0	0	0	3
3	2	0	60.0	0	25	25	0	1	3
3	3	0	76.0	0	50	25	0	3	2
3	4	0	58.0	1	75	25	0	3	0
3	5	0	3.0	0	25	-50	0	1	1
3	6	0	21.0	1	50	25	0	3	2
3	7	0	58.0	1	100	50	1	0	3
4	8	0	65.0	0	0	-100	0	0	3
4	9	0	60.0	0	25	25	0	2	0
4	10	1	2.0	1	100	75	1	0	3
5	1	0	0.0	0	0	0	0	0	3
5	2	0	60.0	0	100	100	1	1	1
5	3	0	26.0	1	10	-90	0	2	0
5	4	0	2.0	0	75	65	0	3	1
5	5	0	28.0	1	25	-50	0	2	1
5	6	0	37.0	1	75	50	0	2	1
5	7	0	37.0	1	75	0	0	2	0
5	8	1	2.0	1	100	25	1	1	3
1	1	0	0.0	0	0	0	0	0	3
1	2	0	60.0	0	70	70	0	2	1
1	3	0	27.0	1	75	5	0	2	0
1	4	0	7.0	0	50	-25	0	3	0
1	5	0	13.0	1	40	-10	0	3	0
2	6	0	3.0	0	0	-40	0	0	3
2	7	0	60.0	0	50	50	0	2	1
2	8	0	27.0	0	50	0	0	3	0
2	9	0	13.0	1	50	0	0	2	0
2	10	0	2.0	1	75	25	0	2	0
1	11	0	2.0	0	0	-75	0	0	3
1	12	0	60.0	0	50	50	0	2	0
1	13	0	2.0	0	25	-25	0	2	0
1	14	0	12.0	0	50	25	0	2	0
1	15	0	12.0	1	100	50	1	0	3
2	16	0	65.0	0	0	-100	0	0	3
